# Mechanical subset of the trope library (see library.md — the human record stays there).
# Format: SEVERITY <TAB> LOGGED_AT <TAB> extended-regex (case-insensitive) <TAB> source/note
# PERM  = calcified into house style; never decays. Any hit means the draft changes. LOGGED_AT is "-".
# BAN   = any hit means the draft changes — until it cools. LOGGED_AT is the catalog song-count
#         at the device's last use; when (current catalog − LOGGED_AT) ≥ the cooling threshold
#         (60 songs, tunable via TROPE_COOL_THRESHOLD), check.sh demotes the line to WATCH.
# WATCH = a hit is allowed only with a stated, song-specific justification — never as a reflex.
# LOGGED_AT backfill (2026-07-24) is approximate by era: 73 = pre-seed sources, 95 = post-seed
# earlier sessions, 108 = this week's songs. New lines record the exact count (write-song step 7).
# Patterns are anchors, not full lines. A miss here proves nothing about constructions-with-slots
# or imagery motifs — those stay in the fuzzy check (library.md Constructions + Imagery).
#
# --- Constructions with mechanical skeletons ---
PERM	-	where [a-z' ]{1,25} should	inventory-of-loss couplet (library #1, 15+ songs)
PERM	-	nobody'?s? (ever |never |once )?asked	unacknowledged-expertise tic
PERM	-	(fold|buckle)s? in on	mechanical-collapse fold/buckle variants
PERM	-	so (who|what|why|where|when|how) (was|did) i	retired guessed question skeleton (7 uses)
PERM	-	so tell me, [a-z]+, tell me	retired bell repeated-address skeleton (10/10 songs)
PERM	-	(didn'?t|never) (fix|save)d? me	final-chorus landing formula (3-band leak)
BAN	107	you trust the [a-z]+, not the	accusatory parallel — purple-dog/no-show
BAN	85	but god	bell shout-back pivot shape (last use old-dogs)
BAN	120	never once [a-z]+e?d? myself	reflexive-verb mismatch — ultracoase/delivered-unread
BAN	107	i know the [a-z' ]{1,25}, not the	I-know-X-not-Y couplet — ultracoase/forge
BAN	120	or did i just	either/or question — guessed/the-wanderer
BAN	107	was any of it ever about	yes/no question — guessed/let-it-lie
BAN	107	i said yes to a	small-invitation reveal — guessed/the-second-chair
PERM	-	grandmothers?'?s? grandmother	ancestral-lineage motif anchor (4 songs)
#
# --- Stock count-words / day-words / image-words ---
PERM	-	\btwice\b	stock precision count (guessed saturation, 12+ songs)
PERM	-	\bnine\b	stock effort count (banned pre-emptively by the user; also catches "the ninth")
WATCH	107	\bforty-one\b	reflex precise-sounding number (laundry/all-clear)
WATCH	120	four hundred	reflex large-count number (5 songs)
WATCH	120	\btuesday\b	reflex arbitrary-day marker (2 ultracoase songs)
WATCH	120	\bfrost\b	ultracoase reflex season-adversity image (the-frost-finds-the-line)
#
# --- Chant hooks / law-statements (coase-guard) ---
BAN	107	nobody built it	spontaneous-order chant — no-blueprint
BAN	107	we run on a name	identity-over-schedule chant — the-day-we-turned-it-off
BAN	107	to have said	myth-serves-the-need wink — the-day-we-turned-it-off
BAN	107	you work, you eat	earn-it chant — you-work-you-eat
BAN	107	the whole of the law	earn-it chant second clause
BAN	107	that'?s arithmetic	cold-math reframe — you-work-you-eat
BAN	107	who the fuck are you	ownership-challenge chant
BAN	107	bought a piece of paper	paper-claim contrast
BAN	107	didn'?t buy this place	paper-claim contrast second clause
BAN	107	never leaked once	clipboard-inspector exemplar — no-blueprint
BAN	107	six mouths, four hands	headcount tally — who-eats fragment
BAN	107	withholding care	welfare-office motif anchor — you-work-you-eat
#
# --- Laundry imperative openers (each spent verbatim) ---
BAN	107	pin the face, mute the room	pin-her-video
BAN	107	count the sheep, scroll the feed	the-app-says-im-resting
BAN	107	say sorry, mean nothing	sorry-spider
BAN	107	spin it out, wring it dry	unbalanced-load
BAN	107	read the card, hold the mic	second-draft
BAN	107	post the req, water the plant	the-graveyard-is-full
BAN	107	cast the wind, work the tree line	all-clear
BAN	107	walk it, heel it	good-dog (doubled shape retired)
BAN	107	queue the take, tag the mood	click-regenerate
BAN	120	clock in, bank the hours	rest-when-im-dead
BAN	120	label it, litigate it	oats-do-not-have-nipples
BAN	107	raise the ticket, flag the risk	no-blockers
BAN	85	part it out	part-it-out (opener + mantra)
#
# --- Laundry mantras / spikes ---
BAN	107	can everyone see my screen	pin-her-video mantra
BAN	107	the app says i'?m resting	quantified-self mantra
BAN	107	message not delivered	sorry-spider mantra
BAN	107	wash, rinse, repeat	unbalanced-load mantra
BAN	107	to the happy couple	second-draft mantra
BAN	107	in-dispensable	the-graveyard-is-full self-negating mantra
BAN	107	\ball clear\b	all-clear mantra
BAN	107	gets the emotions	machine-emotions spike — second-draft
BAN	107	no blockers	no-blockers mantra
BAN	107	click regenerate	click-regenerate mantra
BAN	120	rest when i'?m dead	rest-when-im-dead mantra
BAN	120	oats do not have nipples	oats mantra
BAN	107	unbalanced load	error-code spike — unbalanced-load
BAN	107	across phyla	sorry-spider spike
BAN	107	six hours of light sleep	app-says-im-resting spike
BAN	107	full of indispensable	graveyard aphorism spike
BAN	107	as the news says	all-clear spike
BAN	107	zero bodies	all-clear tally
BAN	107	better than i would have	click-regenerate spike
BAN	107	delilah	no-blockers spike + Samson motif
BAN	120	same card as the chair	rest-when-im-dead spike
BAN	120	keep up with demand	oats spike
BAN	107	freezes mid-laugh	pin-her-video frozen-tile motif anchor
BAN	107	the calendar invite	graveyard recurring-invite motif anchor
#
# --- Laundry mechanical-collapse pre-hook phrasings (all five spent) ---
BAN	107	stutter, catch	click-regenerate pre-hook
BAN	107	second kit drops out	no-blockers pre-hook
BAN	107	ticking hi-hat	no-blockers pre-hook
BAN	120	half-beat late	rest-when-im-dead pre-hook
BAN	120	hi-hat splits in two	oats pre-hook
#
# --- Guessed quoted instructions / spikes / shrugs ---
BAN	107	act like it'?s news	four-minute-fix instruction
BAN	107	be happy for her	be-happy-for-her instruction
BAN	107	don'?t correct a compliment	the-version-she-liked instruction
BAN	107	focus on the story	focus-on-the-story instruction
BAN	107	let it lie	let-it-lie instruction
BAN	120	come back to us	the-wanderer instruction
BAN	85	be nice about it	handle instruction
BAN	85	a word i made up	handle one-line-that-lands
BAN	107	bought the card before	be-happy-for-her spike
BAN	107	clapped the loudest	be-happy-for-her drop-out
BAN	107	was a gift and i said yes	is-it-a-gift spike
BAN	107	i'?d wear it to	is-it-a-gift drop-out
BAN	85	i said thank you	verbatim-duplicated shrug (2 songs)
BAN	107	kindest thing he ever did	he-meant-it-kindly drop-out
BAN	107	i filed them	the-version-she-liked drop-out
BAN	107	who'?s actually looking	focus-on-the-story drop-out
BAN	107	lip-read the bit	focus-on-the-story expertise line
BAN	107	four-minute fix	four-minute-fix spike
BAN	107	two thousand and nine	four-minute-fix drop-out (also nine ban)
BAN	107	in the room to be finished	let-it-lie spike
BAN	107	know where my clothes are	let-it-lie drop-out
BAN	120	pinned him across	the-wanderer spike
BAN	120	not allowed to face	the-wanderer spike
BAN	120	never has to explain	the-wanderer drop-out
BAN	107	eleven seconds	be-happy-for-her timing motif
BAN	107	three cups on the table	the-second-chair ambush motif anchor
#
# --- Lucy Might ---
PERM	-	closer than that	9-song leak from ask-me-again
BAN	85	smell my promises	ask-me-again scent line
BAN	85	sit closer	ask-me-again invitation imperative
BAN	85	ask me again	ask-me-again hook (title phrase)
#
# --- Bell pre-chorus personifications (all four spent) ---
PERM	-	fiddle starts confessing	5 uses
BAN	85	violin remembers	the-graves-i-didnt-dig
BAN	85	stops its weeping	i-was-here-before-your-fathers
BAN	120	strings go quiet	the-birds-have-stopped-singing
#
# --- Bell hooks / questions ---
BAN	120	gave the birds my grief	the-birds-have-stopped-singing couplet
BAN	120	ahead of that bargain	the-birds-have-stopped-singing couplet
BAN	120	does the quiet keep better count	the-birds-have-stopped-singing question
BAN	120	hush it low, hush it holy	the-birds-have-stopped-singing opener
BAN	85	play it quick, play it broken	wheels-where-i-should-kneel opener
BAN	85	dig it slow, dig it holy	the-graves-i-didnt-dig opener
#
# --- Ultracoase intros / winks / hook exemplars ---
BAN	107	nobody rang the bell	forge intro
BAN	107	staying meant becoming him	forge wink
BAN	107	kept the fire lit	forge anaphora
BAN	107	tiger doesn'?t knock	ashes intro
BAN	107	the way he showed me	ashes wink
BAN	107	learn to ride, or you rust	ashes hook
BAN	107	the sea doesn'?t remember	the-third-time intro
BAN	107	counted the sails	the-third-time wink
BAN	107	standing here is where i'?ve always been	the-third-time hook
BAN	107	tilbury	tilbury intro (named anchor)
BAN	107	heart of a king	tilbury hook
BAN	107	picks the moment, not the crowd	tilbury hook
BAN	107	keep the ninth	tilbury wink (also nine ban)
BAN	107	t-minus ten	escape-velocity intro
BAN	107	counting down to an ending	escape-velocity intro
BAN	107	counting up to a landing	escape-velocity hook
BAN	107	just unclaimed	escape-velocity hook
BAN	107	scheduled for a tuesday	escape-velocity wink (also tuesday watch)
BAN	107	already knows the route	autopilot intro
BAN	107	where i actually want to go	autopilot intro
BAN	107	typed home into	autopilot wink
BAN	107	nobody optimized what for	autopilot hook
BAN	120	hospital bracelet	delivered-unread wink
BAN	120	granola bars	delivered-unread wink
BAN	120	four thousand of them	delivered-unread hook
BAN	120	delivered, unread	delivered-unread status motif
BAN	120	cursor blinks	delivered-unread spike
BAN	120	cuts a graft	frost-finds-the-line intro
BAN	120	same length, the same edge	frost-finds-the-line intro
BAN	120	take my truck	frost-finds-the-line wink
BAN	120	as far as the crossing	frost-finds-the-line wink
BAN	120	stayed quiet that week	frost-finds-the-line wink
BAN	120	splits along the graft	frost-finds-the-line hook
BAN	120	bind the wound again	frost-finds-the-line hook
BAN	120	graves are hungry	graves-are-hungry intro (title phrase)
BAN	120	mean it as a metaphor	graves-are-hungry intro
BAN	120	i dug hers myself	graves-are-hungry wink
BAN	120	four foot, not six	graves-are-hungry wink
BAN	120	feed it a	graves-are-hungry hook
BAN	120	hungry again	graves-are-hungry hook
BAN	120	dig it just as deep	graves-are-hungry hook
BAN	120	eleven inches	door-standing-open hook
BAN	120	sandbag the toe	door-standing-open wink
BAN	120	signed the roster	door-standing-open wink
BAN	120	paid for the sky	door-standing-open hook
BAN	120	file it again	door-standing-open hook
BAN	120	left half-shut	two-hundred-yards hook
BAN	120	doesn'?t care if i do	two-hundred-yards hook
BAN	120	two hundred yards past	two-hundred-yards wink
BAN	120	checked the distance after	two-hundred-yards wink
BAN	120	walk it alone forever	two-hundred-yards hook
BAN	120	programs the robots	who-programs-the-robots hook (title phrase)
BAN	120	the room points at	who-programs-the-robots hook
BAN	120	forty milliseconds	who-programs-the-robots wink
BAN	120	wasn'?t the sensor	who-programs-the-robots wink
BAN	120	hedge went quiet	which-of-us-it-was hook
BAN	120	audiogram	which-of-us-it-was hook
BAN	120	which of us it was	which-of-us-it-was hook (title phrase)
BAN	120	walks the transect	which-of-us-it-was wink
BAN	120	r(ü|u)ckenfigur	ruckenfigur intro (title word)
BAN	120	weight on the back foot	ruckenfigur technique refrain
BAN	120	three hundred and sixty-two	ruckenfigur count
BAN	120	never painted her face	ruckenfigur wink
BAN	120	asked her to turn around	ruckenfigur wink
BAN	120	stand where (she|they) stood	ruckenfigur hook
BAN	120	colour of her eyes	ruckenfigur hook
BAN	123	fuck-?me shoes	girlboss condemnation-as-endorsement hook
BAN	123	that'?s why i bought them	girlboss condemnation-as-endorsement hook
BAN	123	argue with the literature	girlboss offer-by-citation line
